epoch,LR,train_loss,train_iou,val_dice,val_iou,val_count
1,0.0003,0.5199418797706946,0.4861872460775355,0.6478672874126136,0.49321706198371085,0
2,0.00027135350407127024,0.48811450426950875,0.5161548593362181,0.6514094223906496,0.49971279814801306,0
3,0.00019635600407127022,0.4661220565681413,0.5389699994575199,0.6884324857258017,0.5403359880613858,0
4,0.00010365399592872976,0.437519411523859,0.5630887546138221,0.7048683354229462,0.5603927705299774,0
5,2.8656495928729772e-05,0.4222216648863746,0.5760099350161232,0.7066443145753255,0.5631259389638542,0
6,0.0003,0.4545718780903272,0.547313747753318,0.6749801815171417,0.5241040746919995,1
7,0.00029265872216169156,0.44339054072653494,0.5605746925920526,0.6767536368041458,0.533337882789126,2
8,0.00027135350407127024,0.43117369013232787,0.5662270180997001,0.6925230585199126,0.5463402874309163,3
9,0.00023816984891760948,0.41819092030430727,0.576437696071514,0.6879038014870286,0.5545513607228214,4
10,0.00019635600407127022,0.4229771143698192,0.5775219803957977,0.7137290138224744,0.5727389459412673,0
11,0.00015000499999999998,0.4099273015082855,0.5856661637500076,0.7065223795702912,0.5662554070799367,1
12,0.00010365399592872976,0.39951655327718016,0.5894975474800157,0.7142070665396038,0.5739372583834893,0
13,6.18401510823905e-05,0.3993326361814301,0.5970515977659296,0.7199784080434817,0.5816552480093142,0
14,2.8656495928729772e-05,0.39387658672593967,0.5978665797033978,0.7234429615051792,0.585179063770445,0
15,7.351277838308446e-06,0.39100512122357645,0.6032641037792636,0.7231927099254022,0.5863832016377964,1
16,0.0003,0.4262315695519214,0.5736399423476835,0.7104876406946113,0.5702297992512919,2
17,0.00029815331264756767,0.42112310849008583,0.5764353294684241,0.7095254426791929,0.5683622529851954,3
18,0.00029265872216169156,0.4178833392533389,0.5754553539396912,0.705950151438567,0.5640381351482802,4
19,0.0002836515235956342,0.4131685671133873,0.5834406729630304,0.7226574893334279,0.5845614405957917,5
20,0.00027135350407127024,0.40673315728252585,0.5837044581691625,0.7024094206197184,0.5672747723589504,6
21,0.00025606748164407614,0.4063142098156444,0.5895845816916393,0.7084882043241338,0.568354836173772,7
22,0.00023816984891760948,0.40658985024496114,0.589958264369339,0.7164443362978311,0.5831500366413601,8
23,0.00021810130500843328,0.40885409976774717,0.5865844747819887,0.6884242607938014,0.5545318171981104,9
24,0.00019635600407127022,0.3974534198641777,0.5975634403696324,0.724394414364452,0.5880222481943085,0
25,0.00017346938758370942,0.39090403992604544,0.5999389422775226,0.7245335196118424,0.5876025808714965,0
26,0.00015000499999999998,0.394598688035856,0.5984885438019474,0.6976217432521731,0.5643018452722486,1
27,0.0001265406124162906,0.38430408786087883,0.6105900881170445,0.7228757462703577,0.587482185268541,2
28,0.00010365399592872976,0.3864896918510224,0.602980211245383,0.7276758428300448,0.5916339504594201,0
29,8.190869499156667e-05,0.38023048297161266,0.6124265565953019,0.7289195938201324,0.5928593229969054,0
30,6.18401510823905e-05,0.37491032543715896,0.6149727001933332,0.7314854365836615,0.5942531016330342,0
31,4.394251835592381e-05,0.3667375221848488,0.6178367171724339,0.7345661746471256,0.5982478557160125,0
32,2.8656495928729772e-05,0.3692295243551125,0.6220800611646072,0.730835008917061,0.5953096674147884,1
33,1.6358476404365774e-05,0.3624509806746925,0.6216192795377327,0.7328280350753265,0.5968014654064957,2
34,7.351277838308446e-06,0.3533605841663612,0.6281335609610825,0.7328788972086794,0.5974644262492699,3
35,1.8566873524323265e-06,0.3655509008463724,0.6263141949128683,0.7329616492041485,0.5971366177322063,4
36,0.0003,0.400033132735388,0.5909041340306613,0.7267103868358668,0.5902288193864874,5
